datetime,price1,price2,kalman_beta,kalman_spread,kalman_zscore,static_spread,static_zscore
2022-12-06 10:30:00,119.535,34.19,3.4964052590931103,-0.0070958083934300475,-0.8183087502791705,39.750721765832026,-0.8980076332433677
2022-12-06 10:45:00,119.445,34.23,3.489634528469932,-0.005189909525768144,-0.608195606105854,39.56737952747676,-0.9902323168202778
2022-12-06 11:00:00,118.69,34.1,3.4808435341272816,-0.0067645137403076205,-0.7842776810094666,39.11574180213138,-1.2174148072547117
2022-12-06 11:15:00,118.68,34.1,3.480362753421725,-0.00036989168081902335,-0.06890058751911114,39.10574180213139,-1.222445000209928
2022-12-06 11:30:00,118.9,34.0,3.496688320036219,0.012597118768553628,1.3787380464167847,39.559097398019574,-0.9943983877452541
2022-12-06 11:45:00,118.92,34.03,3.494610682570719,-0.0016015278815615375,-0.20775589085551582,39.50909071925311,-1.0195527120697612
2022-12-06 12:00:00,119.56,34.27,3.4888933885892293,-0.004376426952902079,-0.5185379985584289,39.58903728912148,-0.9793380448151662
2022-12-06 12:15:00,119.28,34.09,3.498750728907429,0.00758765154573382,0.8187857124581973,39.7290773617202,-0.9088951861516936
2022-12-06 12:30:00,118.96,34.045,3.494299603193704,-0.0034299907296713172,-0.41261287469387736,39.51408737986988,-1.0170392953663512
2022-12-06 12:45:00,118.27,33.99,3.47988022259948,-0.011128766156332404,-1.2726222389443849,38.952432957608366,-1.2995623071792064
2022-12-06 13:00:00,118.09,33.8,3.493474838482814,0.01055045928090692,1.1515731729954373,39.21580858979593,-1.167079282218533
2022-12-06 13:15:00,118.13,33.7101,3.5040470160312567,0.008224684884737599,0.8901119480870632,39.46559527049939,-1.041431762060273
2022-12-06 13:30:00,118.86,33.79,3.5173042918559747,0.010287978186610758,1.119928048309204,40.00914414938474,-0.7680161879215415
2022-12-06 13:45:00,118.265,33.58,3.5217838489527145,0.0034983521678526586,0.36099970150608995,39.90419090074991,-0.8208096971125882
2022-12-06 14:00:00,118.29,33.69,3.5113714131399734,-0.008102908685685861,-0.9342542223269641,39.67249974527293,-0.9373548189193192
2022-12-06 14:15:00,118.24,33.67,3.5117233711200515,0.00027409438784786744,0.002484385152306574,39.669170864450535,-0.939029310205477
2022-12-06 14:30:00,118.27,33.76,3.503448659699236,-0.006426751446198864,-0.7453527985161352,39.489150828151196,-1.0295828620446328
2022-12-06 14:45:00,118.11,33.795,3.4950876697643025,-0.006487799684606443,-0.7512091317956253,39.247476369590316,-1.1511497779356104
2022-12-06 15:00:00,117.97,33.835,3.4868157640845943,-0.00641137780225165,-0.7418255627368777,39.01413413123505,-1.2685254262886236
2022-12-06 15:15:00,117.76,33.63,3.5012995802950924,0.01129511467604516,1.2337473960488006,39.28251310280582,-1.133525625076151
2022-12-06 15:30:00,118.28,33.725,3.5070577718962928,0.004476642797527575,0.4723602710820517,39.580825286712056,-0.9834688404819795
2022-12-06 15:45:00,118.85,33.66,3.5303579411724666,0.018151700134779958,1.99392237062822,40.302506424039365,-0.6204493031920119
2022-12-07 09:30:00,120.34,34.06,3.5331144445378575,0.002122019040569967,0.2075003694658468,40.85908404048665,-0.3404800226633313
2022-12-07 09:45:00,119.0,33.455,3.5564694716562704,0.018313825739483036,2.007048490873685,40.93088539561013,-0.3043625555915849
2022-12-07 10:00:00,119.68,33.585,3.563336032701532,0.005359341719042732,0.5646854520762057,41.30752312095551,-0.11490651232130963
2022-12-07 10:15:00,121.4301,34.1627,3.554659286796818,-0.006658817053661892,-0.7735301840341698,41.70952784350949,0.08730962001435025
2022-12-07 10:30:00,120.0253,33.48,3.584291466160754,0.02322171293796771,2.544846309852849,41.897846496638095,0.18203753624477068
2022-12-07 10:45:00,120.27,33.4,3.600516930425473,0.01273452378920581,1.377718707211993,42.32923097334863,0.3990322518188712
2022-12-07 11:00:00,118.63,32.95,3.6003085215579964,-0.00016578533599442835,-0.05421106592683254,41.73933115484542,0.10230126068677306
2022-12-07 11:15:00,119.22,33.095,3.6023090073880244,0.0015834004933310553,0.14016917259123238,41.99096554080758,0.22887821224259533
2022-12-07 11:30:00,119.76,33.39,3.5870609386595564,-0.011964741842589888,-1.3613576654529633,41.842566532937454,0.15423064784758692
2022-12-07 11:45:00,119.33,33.23,3.5909401211754397,0.0030597733401549476,0.3064451221755922,41.78593548635854,0.12574413869278242
2022-12-07 12:00:00,120.29,33.46,3.5949451102168775,0.003136612143279649,0.3138291699814018,42.20921761581573,0.33866321725943166
2022-12-07 12:15:00,119.64,33.21,3.6023532852657896,0.005847396323119369,0.6167897318565776,42.14260660553616,0.3051565937945859
2022-12-07 12:30:00,119.17,32.96,3.6152827849436386,0.010279408257673595,1.1144364463512646,42.25599559525661,0.36219344352372795
2022-12-07 12:45:00,119.1506,32.71,3.641981615336583,0.021381362340363808,2.3566209592356606,42.81998458497705,0.6458907878151234
2022-12-07 13:00:00,119.26,32.71,3.6458843072290774,0.003124310536875896,0.30816748246025,42.92938458497706,0.7009210987452447
2022-12-07 13:15:00,119.43,32.73,3.6488728677734894,0.002391037773705307,0.22575598915681794,43.05271346579943,0.762957905494042
2022-12-07 13:30:00,119.15,32.62,3.6525759420773904,0.0029727694355443646,0.29025312959025,43.02940462127643,0.751233106942648
2022-12-07 13:45:00,118.8364,32.62,3.643282030399814,-0.007459831641924097,-0.8797595139867251,42.71580462127642,0.5934862558669147
2022-12-07 14:00:00,119.435,32.8,3.641357805437404,-0.001536018346840251,-0.21446663722800444,42.8943645486777,0.6833053447567836
2022-12-07 14:15:00,119.5,32.94,3.6281274731407085,-0.010518965254931345,-1.22026096302879,42.63266671443425,0.5516662845359857
2022-12-07 14:30:00,120.1101,33.1,3.628690467056384,0.00044554043368805196,0.009146711721476174,42.86939776101316,0.6707465688143175
2022-12-07 14:45:00,120.26,33.24,3.618179451912924,-0.008284981585589435,-0.9685037788495482,42.69259992676972,0.5818138467833478
2022-12-07 15:00:00,120.31,33.1,3.6343562758765833,0.012807268485090617,1.3937463973464779,43.06929776101316,0.7713001259891842
2022-12-07 15:15:00,119.8,33.0,3.6303982568414668,-0.003142475768399322,-0.39370380781623965,42.79265335690134,0.6321426527227263
2022-12-07 15:30:00,120.035,33.015,3.635645506794613,0.0041635931758463585,0.4255038753288808,42.9926500175181,0.7327448320529414
2022-12-07 15:45:00,120.19,33.0,3.6419690900548045,0.005020028191452752,0.5234913047150301,43.18265335690134,0.8283201779763438
2022-12-08 09:30:00,120.51,33.38,3.6109743795050027,-0.024324787876992104,-2.7759577790323244,42.61590209252627,0.5432333562341386
2022-12-08 09:45:00,120.665,33.25,3.6286045840299677,0.013897581003575965,1.530621467141335,43.0742643671809,0.7737984247248172
2022-12-08 10:00:00,119.76,33.05,3.6237178445228126,-0.0038747614789400586,-0.4747004693971743,42.635975558957256,0.5533306971769397
2022-12-08 10:15:00,119.6,32.89,3.6360646140456954,0.009834844037072799,1.0706553116543347,42.84934451237832,0.6606593978130919
2022-12-08 10:30:00,119.49,33.12,3.60844925830835,-0.021839435172552157,-2.4970722495151705,42.20262664183552,0.3353478301711022
2022-12-08 10:45:00,118.51,32.98,3.593744164120144,-0.011682532682343094,-1.3518791495912301,41.54932447607899,0.006724234989193856
2022-12-08 11:00:00,118.36,33.14,3.5720326557490676,-0.01716221152410924,-1.9657298663674962,41.025955522657895,-0.2565404472588234
2022-12-08 11:15:00,118.205,33.0104,3.5806343588908245,0.006827559270334405,0.7305366075860772,41.17338437492897,-0.18238088984979542
2022-12-08 11:30:00,118.23,33.155,3.5663191390458246,-0.011311055064311404,-1.3068678779830585,40.86095218327466,-0.3395403107941706
2022-12-08 11:45:00,118.38,33.3,3.555217284870109,-0.008735586174623222,-1.0158539497033794,40.67258656923681,-0.4342918492680764
2022-12-08 12:00:00,118.68,33.74,3.518335736908117,-0.028647763279877836,-3.2401025868627333,39.945821947328824,-0.7998684773906154
2022-12-08 12:15:00,118.02,33.77,3.4953465050878965,-0.017851476818279366,-2.0261617911049763,39.215815268562366,-1.1670759226701437
2022-12-08 12:30:00,117.97,33.91,3.479281155003854,-0.01242396618067687,-1.4189479878132594,38.83911743431892,-1.3565622018759802
2022-12-08 12:45:00,117.91,33.8,3.488255501121443,0.00696406209523559,0.7512503948352115,39.03580858979592,-1.2576227554125137
2022-12-08 13:00:00,117.81,33.7088,3.4947824348449577,0.005077860298300152,0.538692421406394,39.14862889324594,-1.2008719658504947
2022-12-08 13:15:00,117.98,33.83,3.4876017092742595,-0.005565824748188675,-0.6548275874618987,39.035801911029466,-1.2576261149609103
2022-12-08 13:30:00,117.97,33.57,3.513545774552244,0.02026834828117785,2.236769386885703,39.632526460338724,-0.9574621525466274
2022-12-08 13:45:00,117.73,33.51,3.5132856902674265,-0.0002034808614581607,-0.05586029942259466,39.53253981787164,-1.007757363002041
2022-12-08 14:00:00,117.92,33.5501,3.514710440397701,0.0011132536130986637,0.09063452799971447,39.62896422392048,-0.9592540262002173
2022-12-08 14:15:00,117.35,33.455,3.5078574272838488,-0.005370229781163971,-0.6360271154240587,39.28088539561013,-1.1343443932030457
2022-12-08 14:30:00,117.235,33.415,3.5084405961976675,0.00045747805494045224,0.017225041208282728,39.25922763396541,-1.1452386652081572
2022-12-08 14:45:00,117.34,33.27,3.5264740727266637,0.014207600383898011,1.5584863109807214,39.702593248003254,-0.9222172063761193
2022-12-08 15:00:00,117.18,33.02,3.5482352845504948,0.017270904142662857,1.8974485530084804,40.125982237723704,-0.7092443750351265
2022-12-08 15:15:00,117.13,32.99,3.550417315533082,0.0017327605636126009,0.15844702530986365,40.145988916490154,-0.69918062957629
2022-12-08 15:30:00,116.965,32.85,3.560337565991588,0.007910957176335387,0.8484778170774091,40.30768675073361,-0.6178434989076987
2022-12-08 15:45:00,116.9,32.83,3.5607573887238373,0.000334928196437545,0.00042264874755801676,40.28935786991126,-0.6270632796266669
2022-12-09 09:30:00,116.9,32.85,3.558650822401097,-0.001679515876034543,-0.22512652184890003,40.24268675073361,-0.6505397531166338
2022-12-09 09:45:00,115.96,32.77,3.539079710741962,-0.015642121014110444,-1.784119354128454,39.48937122744414,-1.0294719969475632
2022-12-09 10:00:00,116.38,32.96,3.53113804717934,-0.00631003503104921,-0.7403065576681368,39.4659955952566,-1.0412303909829221
2022-12-09 10:15:00,116.18,32.96,3.5250260193839478,-0.004857598894915327,-0.5770466604468237,39.26599559525661,-1.1418342500873355
2022-12-09 10:30:00,115.716,32.77,3.5310105628048225,0.004783856885950399,0.49937730516156725,39.24537122744414,-1.1522087050549545
2022-12-09 10:45:00,115.81,32.91,3.519274952190467,-0.009338676588257044,-1.0774165459715408,39.012673393200714,-1.2692602057055993
2022-12-09 11:00:00,115.46,32.95,3.5044546685471896,-0.011781328629908216,-1.3485570597560341,38.569331154845415,-1.492269906118271
2022-12-09 11:15:00,115.81,33.01,3.508239815585573,0.003003687520248377,0.3032933648797184,38.77931779731253,-1.3866425731554126
2022-12-09 11:30:00,116.03,33.1,3.505503494649547,-0.0021656729000198993,-0.27544224542929613,38.78929776101316,-1.3816224588453858
2022-12-09 11:45:00,115.99,33.16,3.498066234401753,-0.005876332762113634,-0.6895102184176904,38.60928440348026,-1.4721726511361521
2022-12-09 12:00:00,115.8,32.99,3.5098703986396163,0.009375548879049234,1.0219822034707609,38.815988916490156,-1.3681962926206763
2022-12-09 12:15:00,115.065,32.73,3.515445696527799,0.004462352645148826,0.4743570199551317,38.68771346579942,-1.43272131945991
2022-12-09 12:30:00,115.31,32.77,3.518688097821417,0.0025910343921680123,0.2629545370044904,38.83937122744415,-1.3564345390369212
2022-12-09 12:45:00,115.27,32.575,3.538123563285591,0.01562492597184928,1.7278576558725385,39.25441463942609,-1.1476596943306783
2022-12-09 13:00:00,115.53,32.76,3.5268322272453427,-0.009023764557426261,-1.049245667612354,39.082706787032976,-1.2340320572770735
2022-12-09 13:15:00,115.26,32.67,3.5279792040190454,0.000919404697782511,0.07068264270325156,39.022726823332334,-1.2642031363632111
2022-12-09 13:30:00,115.25,32.71,3.5234970347640977,-0.0035880071336436004,-0.4368681138638543,38.91938458497705,-1.3161862762983614
2022-12-09 13:45:00,114.86,32.55,3.5285989424971063,0.00410442171920522,0.43139760260561544,38.902753538398144,-1.324552013632279
2022-12-09 14:00:00,114.84,32.63,3.5196799265232643,-0.007156002454124177,-0.8386548175569618,38.696069061687595,-1.4285182935025724
2022-12-09 14:15:00,115.49,32.8,3.521004352376991,0.0010572420346903755,0.08724439856772037,38.94936454867769,-1.3011057760778875
2022-12-09 14:30:00,115.44,32.775,3.5221684160248774,0.0009301647846484684,0.0718087166160436,38.957703447649735,-1.296911148991541
2022-12-09 14:45:00,115.025,32.715,3.516119283392888,-0.004842356198338393,-0.5797478654241862,38.68271680518265,-1.43523473616332
2022-12-09 15:00:00,115.065,32.8135,3.5068611485738765,-0.007388298728898235,-0.8660916643819844,38.49286154323279,-1.530735596280501
2022-12-09 15:15:00,114.96,32.76,3.5091028056005813,0.001792088524950941,0.16931222572060178,38.51270678703297,-1.5207530557246718
2022-12-09 15:30:00,115.06,32.675,3.5210534641158775,0.009578060013708978,1.0468444138247162,38.811059043537924,-1.3706761138401216
2022-12-09 15:45:00,114.65,32.56,3.5211883154933825,0.00010844753546734864,-0.02227938637706159,38.66941797880932,-1.4419243024369028
2022-12-12 09:30:00,115.3,33.1,3.48426597331283,-0.02920371665467769,-3.315643827589642,38.059297761013156,-1.7488265445765176
2022-12-12 09:45:00,115.87,33.3,3.4796877518883886,-0.003602137883333967,-0.43718992315017363,38.16258656923682,-1.6968702810285319
2022-12-12 10:00:00,117.25,33.635,3.4858103006073895,0.004770539070463542,0.5041599883922284,38.76084532301141,-1.3959345841649122
2022-12-12 10:15:00,117.11,33.55,3.4905017477910345,0.003666361610797253,0.38049175480876823,38.81919757951637,-1.3665822732056623
2022-12-12 10:30:00,117.55,33.53,3.5054667229721774,0.01170077874287756,1.281683143479558,39.305868698694,-1.1217773096859815
2022-12-12 10:45:00,117.36,33.5275,3.5005253518065866,-0.0038637326953505635,-0.46702611257810034,39.12170258859119,-1.2144164166489408
2022-12-12 11:00:00,117.79,34.27,3.4385015019847667,-0.04744647301795624,-5.2951662382791005,37.81903728912148,-1.8696821978892735
2022-12-12 11:15:00,117.61,34.82,3.3789454885574215,-0.04488191156941923,-4.954042175168831,36.3555815117365,-2.6058286920572065
2022-12-12 11:30:00,116.91,34.885,3.3518810843253077,-0.0203716266883589,-2.254674056679553,35.503900374409184,-3.0342407377650513
2022-12-12 11:45:00,117.305,35.2,3.3329300584213795,-0.014138056432557278,-1.5681365215426861,35.16383024736143,-3.2053025735007217
2022-12-12 12:00:00,117.39,35.355,3.3205819562843737,-0.009175064434018054,-1.023161283116697,34.887129073734755,-3.3444886029285494
2022-12-12 12:15:00,117.57,35.42,3.319337192805551,-0.0009233691726251436,-0.11839113237968608,34.91544793640743,-3.3302436685769528
2022-12-12 12:30:00,117.99,35.37,3.3355375916832672,0.012035382162835617,1.3002811972177148,35.452125734351526,-3.060284380732765
2022-12-12 12:45:00,118.175,35.39,3.3391444506184143,0.0026778926143151693,0.27343392572375363,35.59045461517388,-2.990702284551143
2022-12-12 13:00:00,117.885,35.43,3.327508592214152,-0.008629422147393484,-0.9656137492604863,35.20711237681863,-3.1835308272324663
2022-12-12 13:15:00,117.67,35.43,3.3213261432592707,-0.004585255675962685,-0.5234206041656574,34.992112376818625,-3.2916799757697186
2022-12-12 13:30:00,118.205,35.47,3.3323052288788535,0.008133531667070315,0.8722944707323205,35.433770138463345,-3.069517599645326
2022-12-12 13:45:00,118.47,35.63,3.3251550230425853,-0.005273471007328112,-0.6009998876517796,35.32540118504225,-3.1240292742516704
2022-12-12 14:00:00,118.51,35.56,3.332524001721304,0.005446498790433907,0.5759145489021394,35.52875010216398,-3.021740845215917
2022-12-12 14:15:00,118.7,35.58,3.3360702805480194,0.00261941810147448,0.2638633068048146,35.67207898298636,-2.9496436525566727
2022-12-12 14:30:00,119.12,35.74,3.3330229668931426,-0.0022408367609187962,-0.27100405947605016,35.71871002956527,-2.9261873363570916
2022-12-12 14:45:00,119.37,35.88,3.3270451342410428,-0.004379416568625061,-0.5057301209188021,35.642012195321826,-2.964767826906301
2022-12-12 15:00:00,119.76,35.97,3.329393483937507,0.0017163827678814414,0.16468411737831676,35.82199215902247,-2.8742344323575097
2022-12-12 15:15:00,120.12,36.15,3.322951192631596,-0.004685613632190666,-0.5393474386576791,35.76195208642375,-2.9044357473792153
2022-12-12 15:30:00,120.36,36.11,3.3329471141233182,0.007279709006979829,0.7767124712739811,36.09529432477902,-2.736758169473988
2022-12-12 15:45:00,120.65,35.78,3.371209582778335,0.02812112819118795,3.055297343716055,37.15536779121,-2.2035207611882117
2022-12-13 09:30:00,122.52,36.43,3.3633185296036516,-0.005694033461026038,-0.6508258852705773,37.508556417936845,-2.0258600669856563
2022-12-13 09:45:00,122.55,36.55,3.3531415731173966,-0.007324497440833966,-0.8285569893018166,37.25852970287103,-2.151628329059766
2022-12-13 10:00:00,122.32,36.46,3.354875179989922,0.0012509375674341072,0.11212423452899307,37.23854973917038,-2.1616786363250236
2022-12-13 10:15:00,121.97,36.37,3.3536132189956978,-0.0009127748735267005,-0.1256620018115458,37.098569775469755,-2.232091259052921
2022-12-13 10:30:00,121.5,36.33,3.34452464551274,-0.006580371477838298,-0.7463773983097984,36.72191201382502,-2.4215573809683857
2022-12-13 10:45:00,119.48,35.53,3.3624191592294346,0.01324727257818381,1.4254920882494932,36.56875678093044,-2.498597418324538
2022-12-13 11:00:00,120.23,35.905,3.3488355992258168,-0.009942190202949064,-1.1137227293578373,36.44367329634977,-2.5615168246197557
2022-12-13 11:15:00,120.53,35.7,3.3756375918583315,0.01973797065755889,2.1300527082274696,37.22205226792053,-2.169977182691019
2022-12-13 11:30:00,121.395,36.22,3.352073453964123,-0.01710050258053286,-1.8915197668967674,36.873603169302015,-2.3452538028034144
2022-12-13 11:45:00,121.195,36.23,3.345291825862486,-0.0049228509978576085,-0.5624190078291309,36.6502676097132,-2.457595898652815
2022-12-13 12:00:00,121.495,36.43,3.3352255603699827,-0.007267164278459859,-0.8187954507500826,36.48355641793685,-2.5414548448958
2022-12-13 12:15:00,121.37,36.41,3.333459918793537,-0.0012756432726774847,-0.16312600603747027,36.405227537114484,-2.5808557833461023
2022-12-13 12:30:00,121.99,36.36,3.3546391009849947,0.015322288185586785,1.6495342020677146,37.14190533505857,-2.210292636397501
2022-12-13 12:45:00,121.38,36.15,3.3576164212816972,0.002166370666643047,0.2112412954138115,37.02195208642374,-2.270631435021379
2022-12-13 13:00:00,122.03,36.32,3.3598130375571715,0.0015904759235354504,0.14732198465442156,37.275247573413836,-2.1432189175966943
2022-12-13 13:15:00,121.98,36.27,3.3630453804562634,0.0023440508513203895,0.2313960921392242,37.34192537135793,-2.109678698647891
2022-12-13 13:30:00,121.91,36.14,3.3730687717793697,0.007294587893568405,0.7721404418047532,37.575287646012555,-1.9922929716496882
2022-12-13 13:45:00,121.78,36.13,3.3706547756489456,-0.0017570441964096517,-0.21946792941502674,37.468623205601375,-2.0459472433225785
2022-12-13 14:00:00,121.09,36.1,3.354617246647826,-0.01168260398651455,-1.3056406663754612,36.848629884367824,-2.3578158469978834
2022-12-13 14:15:00,120.88,36.07,3.3513279190443463,-0.0023980399295737698,-0.29007138843372593,36.70863656313428,-2.4282351888225806
2022-12-13 14:30:00,121.015,36.11,3.3512885263357686,-2.868598460281646e-05,-0.030179542603251116,36.75029432477902,-2.407280530907015
2022-12-13 14:45:00,120.7,36.05,3.3481902913658272,-0.002260003738058458,-0.27392325282858565,36.57530768231193,-2.4953021885265874
2022-12-13 15:00:00,120.82,36.075,3.349115064078956,0.0006740633516386652,0.04682660978524694,36.63696878333987,-2.4642854649263977
2022-12-13 15:15:00,120.935,36.275,3.3341380237594276,-0.01085681187322507,-1.2158652501598084,36.28525759156352,-2.641202980840972
2022-12-13 15:30:00,120.67,36.155,3.3375065560275883,0.002450466822537578,0.24303682786529354,36.30028430662934,-2.633644253214554
2022-12-13 15:45:00,120.57,35.99,3.349846708763963,0.009016951584953858,0.9614048849317846,36.585321039844814,-2.490265276474585
2022-12-14 09:30:00,121.7,36.36,3.347138568586245,-0.0019583537958567376,-0.24144131042538325,36.851905335058575,-2.356168232098905
2022-12-14 09:45:00,120.91,36.65,3.299968722575926,-0.03385368240768116,-3.7122014646415917,35.385174106982845,-3.093962341165817
2022-12-14 10:00:00,120.3,36.61,3.286256620271359,-0.009854868134453909,-1.0957408204596972,34.86851634533812,-3.353851164454368
2022-12-14 10:15:00,119.41,36.43,3.2779575555908145,-0.005993750173374224,-0.6744381613409509,34.398556417936845,-3.5902500760593736
2022-12-14 10:30:00,119.31,36.36,3.281286889708242,0.0024086902083269024,0.24117948270996234,34.461905335058574,-3.5583843483967135
2022-12-14 10:45:00,120.0999,36.5,3.290231616667662,0.0064459916303292175,0.6805237687086175,34.92510750081513,-3.325384721293542
2022-12-14 11:00:00,120.71,36.42,3.3139179169654627,0.017109464117837092,1.8392943714012693,35.721891977525644,-2.9245867551356777
2022-12-14 11:15:00,120.965,36.47,3.316779167047619,0.002063777773329889,0.20122326877310956,35.860214179581575,-2.855008018502438
2022-12-14 11:30:00,120.66,36.32,3.3220318143389354,0.0038045032098636966,0.390211518189566,35.90524757341383,-2.832355352461968
2022-12-14 11:45:00,120.27,36.07,3.3341057824509344,0.008804426994785786,0.9331295814451444,36.09863656313428,-2.735076959091059
2022-12-14 12:00:00,120.19,36.13,3.3267466372421817,-0.005356003560038403,-0.6069067146458968,35.87862320560137,-2.8457479232027123
2022-12-14 12:15:00,120.42,36.47,3.30237385060218,-0.017574331461503334,-1.9353314626472693,35.315214179581574,-3.129153534561981
2022-12-14 12:30:00,120.73,36.56,3.3022454161557118,-9.241465282627814e-05,-0.029620303997998244,35.41519414328221,-3.0788616836549636
2022-12-14 12:45:00,120.85,36.36,3.3232886060889943,0.015226282604160701,1.6366749710152988,36.00190533505857,-2.78373463329269
2022-12-14 13:00:00,121.31,36.79,3.297857632414695,-0.01818229653662229,-1.9958425613088913,35.458476272739404,-3.0570899373867086
2022-12-14 13:15:00,121.3,36.79,3.2971062103999893,-0.0005374806156055456,-0.07736569624907721,35.4484762727394,-3.062120130341932
2022-12-14 13:30:00,121.5,36.58,3.321016917726756,0.01720114955526242,1.8469625042605982,36.138523024104586,-2.7150132995929046
2022-12-14 13:45:00,121.29,36.39,3.332823952045737,0.00853638505564902,0.9042681720561212,36.37189865629212,-2.5976208534979093
2022-12-14 14:00:00,120.4299,36.05,3.3404802622106837,0.0055865473048584136,0.5833161741711097,36.30520768231193,-2.6311677002471052
2022-12-14 14:15:00,120.92,36.11,3.3484952524399025,0.0058364343951211595,0.61007962675108,36.65529432477902,-2.4550673639816134
2022-12-14 14:30:00,120.355,36.06,3.337847064713026,-0.007765153551716253,-0.86533062203039,36.2069721227231,-2.680582082226697
2022-12-14 14:45:00,120.27,36.01,3.3398646683113076,0.0014732941098145602,0.13678736968266855,36.238649920667186,-2.664647538621172
2022-12-14 15:00:00,121.28,36.29,3.341926322283768,0.0014937643220633845,0.13853468978963415,36.5952542521803,-2.4852686790033194
2022-12-14 15:15:00,120.19,35.92,3.3459644533017436,0.002956837401356438,0.2964167849480803,36.36866995696654,-2.5992449515581124
2022-12-14 15:30:00,119.87,35.905,3.3386807805927186,-0.005333427181554384,-0.6031960840750465,36.08367329634977,-2.74260377100771
2022-12-14 15:45:00,119.72,35.99,3.3267223034327715,-0.008735700545457803,-0.9720668702262368,35.73532103984482,-2.9178316776683637
2022-12-15 09:30:00,119.16,36.35,3.279077392771249,-0.0344632272349088,-3.7406280630488773,34.335240894647384,-3.622099005980051
2022-12-15 09:45:00,119.01,36.56,3.255657805782637,-0.01684937941320186,-1.83432064110559,33.69519414328221,-3.9440548719529676
2022-12-15 10:00:00,118.59,36.38,3.2596781901617096,0.002907441917002984,0.2956032418865987,33.69523421588093,-3.944034714662589
2022-12-15 10:15:00,118.76,36.73,3.23382827139534,-0.01851240835081569,-2.0088395687683493,33.04848963027233,-4.269359720498158
2022-12-15 10:30:00,119.505,37.35,3.2002321037003307,-0.023669073207358338,-2.5563680699325912,32.346684935765595,-4.622381023523034
2022-12-15 10:45:00,118.685,37.05,3.203314691624809,0.002190675300823841,0.22147916446116986,32.226751723430155,-4.682709743501709
2022-12-15 11:00:00,118.245,36.93,3.2018957849884906,-0.0010113396249522566,-0.12260353357864706,32.06677843849596,-4.763179392591664
2022-12-15 11:15:00,118.105,36.785,3.2105160351929203,0.006167645428448054,0.6473798829834227,32.26514405253383,-4.663397661162527
2022-12-15 11:30:00,117.68,36.73,3.204046690960565,-0.004634958981540649,-0.5131407598357408,31.96848963027233,-4.81262055966202
2022-12-15 11:45:00,117.83,36.97,3.1874974059040047,-0.011779096271055778,-1.2809561232585949,31.55843620014069,-5.018885347213256
2022-12-15 12:00:00,118.34,37.17,3.183820384768308,-0.0026037018380122845,-0.2962464948245419,31.601725008364326,-4.997110241396611
2022-12-15 12:15:00,118.29,37.295,3.171963254316769,-0.008369569743891248,-0.9180854723185944,31.260030513504105,-5.168989165484978
2022-12-15 12:30:00,118.39,37.399,3.165710366086004,-0.004401981250467202,-0.4897414406562312,31.117340693780392,-5.240764898080576
2022-12-15 12:45:00,118.84,37.55,3.1648627006633707,-0.0005944099095529509,-0.07935618437518314,31.214973743989262,-5.191653589944837
2022-12-15 13:00:00,119.04,37.48,3.1758872379373506,0.007746322108118875,0.8183573004078476,31.578322661110988,-5.008882073625549
2022-12-15 13:15:00,118.97,37.37,3.1834275254531916,0.005313373814232136,0.5557142549521475,31.76501381658798,-4.914972820117306
2022-12-15 13:30:00,119.255,37.335,3.1939882693008403,0.007447965653113897,0.7842070779404583,32.13168827514883,-4.730528492286081
2022-12-15 13:45:00,119.32,37.27,3.2013627647851317,0.0052097564581288225,0.541890114390881,32.34836941247613,-4.621533699234776
2022-12-15 14:00:00,119.16,37.1,3.2116628190507837,0.007309413215921268,0.7672735454290917,32.58507392548604,-4.50246676185363
2022-12-15 14:15:00,118.87,37.11,3.2033388442599473,-0.005904510486644199,-0.6554213711973594,32.271738365897235,-4.660080594300013
2022-12-15 14:30:00,119.2,37.225,3.2021712733858707,-0.0008256517890430359,-0.10736518613507866,32.333379430625826,-4.629073949345006
2022-12-15 14:45:00,119.61,37.07,3.226139148444932,0.01702176714636039,1.8125160577427974,33.10508060425251,-4.2408933686337384
2022-12-15 15:00:00,119.69,37.08,3.22785284421543,0.0012165364918672594,0.11038778948073728,33.16174504466369,-4.212390061736952
2022-12-15 15:15:00,119.6905,37.1,3.226190814947447,-0.0011792345502925627,-0.14892833504053232,33.115573925486046,-4.235615025579157
2022-12-15 15:30:00,119.84,37.22,3.2198939654196232,-0.0044533929183643295,-0.5017146366809303,32.98504721042025,-4.301272481838367
2022-12-15 15:45:00,119.91,37.29,3.215687049404625,-0.0029700722984529193,-0.34232809914355034,32.89169829329852,-4.348228788366691
2022-12-16 09:30:00,116.65,36.11,3.2301157510871104,0.010520228244459418,1.1100697437174558,32.385294324779025,-4.60295975586096
2022-12-16 09:45:00,117.09,36.46,3.2118264156951373,-0.013191116244698264,-1.4430717545694518,32.00854973917039,-4.792469551905579
2022-12-16 10:00:00,117.5,36.28,3.2381724551306355,0.019103327860548802,2.029735817016189,32.83858981176911,-4.374943379331861
2022-12-16 10:15:00,117.18,36.19,3.2379161717650393,-0.00018625617676093498,-0.04407544570789179,32.72860984806849,-4.430265423194095
2022-12-16 10:30:00,117.8,36.29,3.2459135952939033,0.005795626784248498,0.5982058610914865,33.11525425218029,-4.235775827420214
2022-12-16 10:45:00,117.48,36.155,3.249275462394104,0.0024456571411803907,0.2374698147716504,33.11028430662934,-4.238275805930038
