datetime,price1,price2,kalman_beta,kalman_spread,kalman_zscore,static_spread,static_zscore
2022-04-06 12:00:00,104.09,103.99,1.000973958673437,-0.0012819624507045546,-1.3493515612112448,22.361724898037636,7.561342743372314
2022-04-06 12:15:00,104.315,104.25,1.000625155629541,-0.0001724743796387429,-0.210818776695522,22.3823845621735,7.57729357900705
2022-04-06 12:30:00,104.535,104.39,1.0013854254329357,0.0003754390558299292,0.3500412336475206,22.49235515055436,7.66219925648481
2022-04-06 12:45:00,104.57,104.24,1.0031573647795007,0.0008762953848417965,0.8636748862659308,22.645243805860588,7.780240953347258
2022-04-06 13:00:00,104.61,104.23,1.0036434767173095,0.0002404217548246379,0.20960002526403107,22.69310304954766,7.817191937866417
2022-04-06 13:15:00,104.39,104.155,1.002262813508295,-0.0006833409564563908,-0.7397562179049995,22.532047377200783,7.692844681262784
2022-04-06 13:30:00,104.5,104.0502,1.004313150743953,0.0010158024615236627,1.0065337821890168,22.724412251041386,7.841365028174035
2022-04-06 13:45:00,104.25,103.765,1.004672303540524,0.00017842311751792295,0.14574122569708145,22.698557880996958,7.821403483576491
2022-04-06 14:00:00,104.175,103.66,1.004966752620117,0.0001464233986752106,0.11280329876966894,22.706079939711316,7.827211086323492
2022-04-06 14:15:00,104.4,103.76,1.0061623557264177,0.0005939698269088467,0.5717591625093623,22.852487502840503,7.9402488859604246
2022-04-06 14:30:00,104.54,103.665,1.0084297739354486,0.0011274849817226595,1.1190359588492003,23.067150317867785,8.10598494327833
2022-04-06 14:45:00,104.419,103.57,1.0081984659990575,-0.00011512352237730283,-0.15844497050008466,23.020813132895057,8.070209104115806
2022-04-06 15:00:00,104.22,103.385,1.0080771917251647,-6.0466506170087087e-05,-0.10216887164156736,22.967209141106068,8.028822736129905
2022-04-06 15:15:00,104.01,103.26,1.0072671351017226,-0.00040437060387432666,-0.4551623590105691,22.855449687194593,7.942535918094207
2022-04-06 15:30:00,104.2099,103.41,1.0077329832142168,0.0002322058178521047,0.19851720631778852,22.937461031888375,8.005854928064144
2022-04-06 15:45:00,104.48,103.97,1.0049186811155075,-0.001395275579312738,-1.4714748861655884,22.767443385411795,7.874588344245625
2022-04-07 09:30:00,104.28,104.12,1.0015526937343986,-0.001666471625583199,-1.7467055812545231,22.44955473010556,7.629154069148423
2022-04-07 09:45:00,103.34,103.26,1.0007784863554372,-0.00038650106245086135,-0.4340260659580873,22.18544968719459,7.425244842837954
