Pair,Sector,Rolling_Within_2σ,Kalman_Within_2σ,Rolling_Max_Z,Kalman_Max_Z
MET-TRV,Insurance,81.92318023099651,96.66935267257588,4.023664248145152,27.77587613193998
AEP-WEC,Utilities,78.90535042603823,95.4287249558609,3.942476759339698,16.388781454669125
CLF-SCCO,Metals,79.27119294207901,96.2523973916379,4.417717111034637,24.09742168562331
VLO-PBF,Energy,82.57866462010745,95.7214121258634,4.9263099086524855,18.109733619739632
MAA-CPT,REITs,78.74904067536454,95.62547966231773,4.753688861038383,16.655095532766744
