datetime,price1,price2,enhanced_mu,enhanced_gamma,enhanced_spread,enhanced_zscore,delta
2020-12-31 11:00:00,124.7,98.255,-23.43640615784976,1.5077172947830784,-0.00435664106160516,,1e-07
2020-12-31 11:15:00,124.58,98.25,-23.436511708285806,1.5071244104548402,-0.05846161890224266,,1e-07
2020-12-31 11:30:00,124.5,98.36,-23.436468532494892,1.5060919145424867,-0.20273218190408926,,1e-07
2020-12-31 11:45:00,124.75,98.43,-23.436431378405228,1.5059435373957715,-0.043591007460566544,,1e-07
2020-12-31 12:00:00,124.57,98.55,-23.43583145264427,1.5051139220127923,-0.3231455617164123,,1e-07
2020-12-31 12:15:00,124.44,98.41,-23.43581861842441,1.5047028350624738,-0.2019873800736285,,1e-07
2020-12-31 12:30:00,124.51,98.21,-23.435532345499354,1.504945095825563,0.14487448447083295,,1e-07
2020-12-31 12:45:00,124.54,98.446,-23.43542192098229,1.5047144898423834,-0.15770074604099094,,1e-07
2020-12-31 13:00:00,124.84,98.565,-23.435362491555924,1.5046722485623132,-0.032657687988471906,,1e-07
2020-12-31 13:15:00,124.78,98.55,-23.4352701679944,1.5045998753000904,-0.06304754282949787,,1e-07
2020-12-31 13:30:00,125.05,98.77,-23.434870310932812,1.5044806413425684,-0.11268263447267302,,1e-07
2020-12-31 13:45:00,125.19,98.89,-23.43424736567488,1.504343812892509,-0.1403122912653565,,1e-07
2020-12-31 14:00:00,125.23,99.0,-23.4329777363256,1.504121802312819,-0.24508069264346588,,1e-07
2020-12-31 14:15:00,125.37,99.11,-23.431499527041673,1.5039090070307761,-0.2509221597785469,,1e-07
2020-12-31 14:30:00,125.59,99.185,-23.430665720553886,1.5038024378845403,-0.13397908102425404,,1e-07
2020-12-31 14:45:00,125.7,99.29,-23.429496674193597,1.5036740943711504,-0.17030415591793613,,1e-07
2020-12-31 15:00:00,126.13,99.66,-23.42666149853867,1.5034659814507223,-0.278758212840323,,1e-07
2020-12-31 15:15:00,126.07,99.34,-23.42751047802905,1.503555608438093,0.1342963357888749,,1e-07
2020-12-31 15:30:00,126.11,99.525,-23.42674067055664,1.5034917122109945,-0.09827198724261166,,1e-07
2020-12-31 15:45:00,126.68,99.98,-23.42432240997218,1.503357828904559,-0.2013933239056449,-0.6390827756804538,1e-07
2021-01-04 09:30:00,125.885,99.85,-23.416648086755234,1.5028877883178242,-0.7616975767794933,-3.2970541522364623,1e-07
2021-01-04 09:45:00,124.71,98.68,-23.417026025300633,1.502809106556773,-0.17017660972173232,-0.09369810983578351,1e-07
2021-01-04 10:00:00,124.66,98.5,-23.416836589014764,1.5028294494564611,0.048135817553344395,1.0634921110460966,1e-07
2021-01-04 10:15:00,124.06,97.76,-23.410804806626974,1.503004503628874,0.5370845318682633,2.899622467166266,1e-07
2021-01-04 10:30:00,123.38,97.37,-23.40454507355311,1.5031201043120894,0.4257405166849395,2.116999095655691,1e-07
2021-01-04 10:45:00,123.44,97.13,-23.39107099014012,1.5033121625558177,0.8143606410935398,2.9172361673972755,1e-07
2021-01-04 11:00:00,123.305,97.04,-23.377864358194827,1.5034831743228476,0.7848571219056879,2.422161953280116,1e-07
2021-01-04 11:15:00,123.33,97.17,-23.369035093686083,1.5036161119780445,0.5926574927795123,1.7121414290739791,1e-07
2021-01-04 11:30:00,122.85,96.98,-23.362767355099887,1.5036918093717462,0.3847356822279231,1.0750563246920724,1e-07
2021-01-04 11:45:00,122.59,96.7225,-23.353689224960657,1.503772623974606,0.4950416025768156,1.3234257358261055,1e-07
2021-01-04 12:00:00,122.26,96.56,-23.346009869736356,1.5038285735330628,0.39632280938382536,1.0115039838630708,1e-07
2021-01-04 12:15:00,122.71,96.76,-23.337164076519176,1.5039123399808871,0.5286060599685136,1.3213148671204051,1e-07
2021-01-04 12:30:00,122.52,96.835,-23.33377947855062,1.5039478329543305,0.21899107441802457,0.456153392407496,1e-07
2021-01-04 12:45:00,122.59,96.78,-23.328170808865053,1.504002641416018,0.36079517262282934,0.832087556981619,1e-07
2021-01-04 13:00:00,122.99,97.0,-23.322799703091434,1.5040742055037162,0.4176017692309699,0.9642544871558356,1e-07
2021-01-04 13:15:00,123.09,97.14,-23.31949407091431,1.5041284902856948,0.29845252456191673,0.616673688109595,1e-07
2021-01-04 13:30:00,122.96,96.71,-23.307500794046657,1.5042329926998483,0.7931280700443146,1.8909308193829044,1e-07
2021-01-04 13:45:00,123.34,96.71,-23.290698538417054,1.5043800465068975,1.1421042407350015,2.5428639226292464,1e-07
2021-01-04 14:00:00,122.98,96.45,-23.271316450994522,1.504492455558222,1.1430191124040086,2.322858640387444,1e-07
2021-01-04 14:15:00,123.1,96.51,-23.253125260473823,1.5046099120669878,1.143222646888816,2.150755436066658,1e-07
2021-01-04 14:30:00,123.12,96.3,-23.227673610126047,1.5047231036844897,1.4428387253096986,2.5438367268148774,1e-07
2021-01-04 14:45:00,123.17,96.5,-23.210016954045997,1.5048374471246813,1.163203306514248,1.8582681877612552,1e-07
2021-01-04 15:00:00,123.11,96.63,-23.198057058565695,1.5049351817945287,0.8861704417603988,1.2649106780736976,1e-07
2021-01-04 15:15:00,123.04,96.445,-23.18195947397121,1.5050299658230508,1.0693444201671056,1.5621264576354887,1e-07
2021-01-04 15:30:00,123.32,97.005,-23.177490382187433,1.5051025094253534,0.49502145538103903,0.4391661388240921,1e-07
2021-01-04 15:45:00,122.71,96.45,-23.167310552073953,1.5051623423597644,0.7044026314746752,0.8344534693259669,1e-07
