datetime,price1,price2,enhanced_mu,enhanced_gamma,enhanced_spread,enhanced_zscore,delta
2020-12-31 11:00:00,57.01,7.245,40.04512607844129,2.342590152947045,-0.007191736542637273,,1e-07
2020-12-31 11:15:00,56.88,7.24,40.033611568222405,2.3363122587716254,-0.06851232172896715,,1e-07
2020-12-31 11:30:00,56.93,7.255,40.03029025143899,2.334459830479856,-0.03679632157034263,,1e-07
2020-12-31 11:45:00,56.865,7.21,40.030455874050375,2.33454363925747,0.002484486903270522,,1e-07
2020-12-31 12:00:00,56.78,7.1963,40.028316157762205,2.333500817938887,-0.04088809389581627,,1e-07
2020-12-31 12:15:00,56.92,7.1648,40.034945511342826,2.3364149103872207,0.145108938714813,,1e-07
2020-12-31 12:30:00,56.85,7.12,40.04165181645298,2.338915968481933,0.15526648795565734,,1e-07
2020-12-31 12:45:00,56.69,7.093,40.04371996194355,2.3396079295807217,0.051440993540381896,,1e-07
2020-12-31 13:00:00,56.72,7.115,40.044603798841244,2.3399348462641556,0.026759769989290305,,1e-07
2020-12-31 13:15:00,56.73,7.1423,40.04395414001878,2.33965657639212,-0.0244833055842264,,1e-07
2020-12-31 13:30:00,56.7937,7.125,40.04583098723864,2.34038113115659,0.07265345327066086,,1e-07
2020-12-31 13:45:00,56.73,7.115,40.046563657348315,2.3406465679528816,0.029736011666926743,,1e-07
2020-12-31 14:00:00,56.9,7.2016,40.04652750666708,2.34062020163728,-0.0027379507781191137,,1e-07
2020-12-31 14:15:00,56.91,7.18,40.047309646680304,2.3410792422776954,0.05374139376583997,,1e-07
2020-12-31 14:30:00,57.115,7.195,40.04979256658328,2.3427884388605973,0.20884461581472635,,1e-07
2020-12-31 14:45:00,56.7,7.105,40.0498849151157,2.342815690389531,0.00440960466668372,,1e-07
2020-12-31 15:00:00,56.89,7.075,40.055612891756475,2.3441427123886847,0.2495774180935797,,1e-07
2020-12-31 15:15:00,56.85,7.13,40.05680345228273,2.3445929010144657,0.07624916348412825,,1e-07
2020-12-31 15:30:00,56.8,7.1455,40.056678465348895,2.344537093206944,-0.009568264859112219,,1e-07
2020-12-31 15:45:00,56.54,7.11,40.05379354731135,2.3436586195832336,-0.17720633254814544,-2.160502081927812,1e-07
2021-01-04 09:30:00,57.25,7.35,40.054100200872334,2.3434165626132413,-0.028211936079657107,-0.6254213472323059,1e-07
2021-01-04 09:45:00,56.96,7.215,40.054092286007815,2.343405982422722,-0.00176644918775537,-0.34386962630548434,1e-07
2021-01-04 10:00:00,56.54,7.1,40.051628801291244,2.3428407674328278,-0.1457982500643169,-1.6940363614374243,1e-07
2021-01-04 10:15:00,56.15,7.01,40.043502081091,2.3421319436651036,-0.3118470061833776,-2.6949116616394693,1e-07
2021-01-04 10:30:00,55.405,6.85,40.01557094338433,2.342378403054246,-0.6558630043059139,-3.609137384737951,1e-07
2021-01-04 10:45:00,55.1,6.79,39.97802220463658,2.3434211789842077,-0.7898520099393451,-3.2265081326203817,1e-07
2021-01-04 11:00:00,55.14,6.8,39.94471165064095,2.3442497922497787,-0.745610237939438,-2.5602093414631146,1e-07
2021-01-04 11:15:00,55.025,6.7499,39.909865299500446,2.34559278493173,-0.7173820385111327,-2.179326046163633,1e-07
2021-01-04 11:30:00,55.0,6.765,39.87586047211688,2.3467699176211037,-0.7517589648236438,-2.073698210377296,1e-07
2021-01-04 11:45:00,55.16,6.86,39.84959863519908,2.346766640937268,-0.7884177920287456,-1.9985221301340337,1e-07
2021-01-04 12:00:00,55.325,6.8546,39.830176501793105,2.3468152662946773,-0.5916564261365949,-1.3271611563870163,1e-07
2021-01-04 12:15:00,55.49,6.88,39.81649396764503,2.346661468220037,-0.471524868998884,-0.9331681535946016,1e-07
2021-01-04 12:30:00,55.22,6.79,39.79693561504246,2.34723858713785,-0.514685621708459,-1.0308479517637048,1e-07
2021-01-04 12:45:00,55.39,6.825,39.783233588305016,2.347457988660379,-0.41463436091210326,-0.710298767291684,1e-07
2021-01-04 13:00:00,55.65,6.91,39.77538611689598,2.3471674974436487,-0.34431352423159467,-0.4860585001533426,1e-07
2021-01-04 13:15:00,55.9501,7.0,39.77233020239771,2.3466065125866327,-0.2484757905041448,-0.1862346081176974,1e-07
2021-01-04 13:30:00,55.814,6.92,39.76835751323354,2.346430435987661,-0.1916561302681572,-0.007473390692069612,1e-07
2021-01-04 13:45:00,55.976,6.96,39.766456551629496,2.3462459521728363,-0.12032837875243985,0.21701093925738635,1e-07
2021-01-04 14:00:00,55.665,6.96,39.75998492940677,2.345617878552216,-0.4204853641301938,-0.7378043330862757,1e-07
2021-01-04 14:15:00,55.62,6.95,39.75304242669937,2.345058793399685,-0.43120104082718314,-0.7573843233294315,1e-07
2021-01-04 14:30:00,55.48,6.9,39.74365298390245,2.3448519047222405,-0.443131126485909,-0.7806728970639056,1e-07
2021-01-04 14:45:00,55.79,6.925,39.74029266358273,2.3446918156886283,-0.18728348722648036,0.05865059257614523,1e-07
2021-01-04 15:00:00,55.526,6.89,39.73258432179088,2.344592096266187,-0.3608238650649014,-0.5106382376836106,1e-07
2021-01-04 15:15:00,55.525,6.845,39.72611506358195,2.3447043753772197,-0.2506165130390201,-0.13945042536330027,1e-07
2021-01-04 15:30:00,55.56,6.845,39.72079144388772,2.3447967597465684,-0.21092526435297998,-0.004749027408106295,1e-07
2021-01-04 15:45:00,55.73,6.85,39.71954744737925,2.344814723661846,-0.05152830446289869,0.5347034247382482,1e-07
2021-01-05 09:30:00,56.96,7.05,39.720725795263704,2.346794052417314,0.6943761351942328,2.8008966789930296,1e-07
