datetime,price1,price2,enhanced_mu,enhanced_gamma,enhanced_spread,enhanced_zscore,delta
2020-12-31 11:00:00,14.58,65.07,11.651233797797865,0.045063337054522326,-0.003505139935631618,,1e-06
2020-12-31 11:15:00,14.62,65.165,11.65125740865836,0.045310187287714666,0.01610423673771244,,1e-06
2020-12-31 11:30:00,14.57,65.07,11.651214245630776,0.04515947146191949,-0.01974105365787615,,1e-06
2020-12-31 11:45:00,14.6,65.0,11.651239733107884,0.04521059900314055,0.010071331687980134,,1e-06
2020-12-31 12:00:00,14.595,65.16,11.651240682795,0.0452039239157269,-0.0017283651437640657,,1e-06
2020-12-31 12:15:00,14.6346,65.16,11.651226865749043,0.045301427139986424,0.03153214180944275,,1e-06
2020-12-31 12:30:00,14.595,65.03,11.65122383006945,0.04529667779157373,-0.001866786855488911,,1e-06
2020-12-31 12:45:00,14.63,65.08,11.651240801212069,0.0453560174941817,0.026989580266587154,,1e-06
2020-12-31 13:00:00,14.6169,65.1,11.651243620534663,0.04537830159973915,0.011528945322318407,,1e-06
2020-12-31 13:15:00,14.62,65.0,11.65127377556287,0.04540752770207139,0.0172369238024892,,1e-06
2020-12-31 13:30:00,14.62,64.98,11.651304769886448,0.04543265930981771,0.016481028161596356,,1e-06
2020-12-31 13:45:00,14.62,65.06,11.651310458699921,0.045449252439373714,0.01176117759442441,,1e-06
2020-12-31 14:00:00,14.63,65.05,11.651322685165077,0.04547575940606786,0.020479165470209892,,1e-06
2020-12-31 14:15:00,14.63,65.07,11.651327129888418,0.04549759573872364,0.018144315392834898,,1e-06
2020-12-31 14:30:00,14.63,65.2,11.651307039784013,0.045510741780732444,0.011392596112232312,,1e-06
2020-12-31 14:45:00,14.62,65.1,11.651306428147837,0.04551661013785183,0.005562251878007629,,1e-06
2020-12-31 15:00:00,14.645,65.09,11.651307922099226,0.04554545879526319,0.029138164917091203,,1e-06
2020-12-31 15:15:00,14.695,65.13,11.651266856134807,0.04561434420160064,0.07287090601494306,,1e-06
2020-12-31 15:30:00,14.65,65.07,11.651278109538417,0.045639845417640865,0.02893714913569312,,1e-06
2020-12-31 15:45:00,14.56,65.13,11.651311393515604,0.04558824339005316,-0.06047368550976451,-2.8864826586695402,1e-06
2021-01-04 09:30:00,14.8666,68.36,11.646649387965276,0.045738751047785506,0.09324959040810654,2.5585726247442993,1e-06
2021-01-04 09:45:00,14.6043,68.08,11.65299134440277,0.04552297172492561,-0.14789525943570503,-3.4203968917318446,1e-06
2021-01-04 10:00:00,14.55,67.97,11.660275980430455,0.04526846181350851,-0.18717332989462854,-3.0936676004170174,1e-06
2021-01-04 10:15:00,14.5623,68.2,11.667396917679016,0.04503032868501109,-0.1761653339967726,-2.4381691556425737,1e-06
2021-01-04 10:30:00,14.495,68.33,11.676988389907784,0.04471642333573807,-0.23746159643876652,-2.696420825849096,1e-06
2021-01-04 10:45:00,14.34,68.1875,11.69037720631276,0.04426289231961698,-0.3685531763566434,-3.1969611728649334,1e-06
2021-01-04 11:00:00,14.355,67.74,11.699312149810824,0.043919791881923805,-0.31943885189234145,-2.3651514625133783,1e-06
2021-01-04 11:15:00,14.4,68.06,11.708033097122124,0.043613307982429926,-0.2763548384063039,-1.8334957370884468,1e-06
2021-01-04 11:30:00,14.335,67.46,11.714472742857344,0.04333274699891496,-0.30269985540414623,-1.8763136668393132,1e-06
2021-01-04 11:45:00,14.36,67.36,11.719452011596704,0.0431034577614943,-0.2629009264109605,-1.4837398967144693,1e-06
2021-01-04 12:00:00,14.21,67.105,11.725032927946122,0.04279972325107317,-0.3871083567093869,-2.1741430968442397,1e-06
2021-01-04 12:15:00,14.255,67.06,11.729367686233449,0.04255350779543115,-0.3280059189950606,-1.654345526997054,1e-06
2021-01-04 12:30:00,14.205,67.03,11.733838275439723,0.04229091846399107,-0.3635985400810444,-1.770022361943039,1e-06
2021-01-04 12:45:00,14.31,67.135,11.737249238030756,0.04210627263340496,-0.2540538512743975,-1.0247267384230143,1e-06
2021-01-04 13:00:00,14.435,67.15,11.738902580588862,0.04201716370610158,-0.12535512345358235,-0.1855340052117177,1e-06
2021-01-04 13:15:00,14.54,67.47,11.739474424771245,0.04199211124891715,-0.032682170735686356,0.41866312250767146,1e-06
2021-01-04 13:30:00,14.5,67.43,11.740596012411128,0.04194144739106996,-0.06870780999097548,0.17583816064937305,1e-06
2021-01-04 13:45:00,14.55,67.58,11.741032094587734,0.0419232097840974,-0.02420261179703509,0.469303334620961,1e-06
2021-01-04 14:00:00,14.455,67.55,11.742974511077676,0.04184001444729255,-0.11426748699228817,-0.14456405165895644,1e-06
2021-01-04 14:15:00,14.515,67.63,11.743960266584653,0.041799292768535744,-0.055846436520724296,0.25668122920042874,1e-06
2021-01-04 14:30:00,14.45,67.413,11.7454677321478,0.0417274477427421,-0.10844016682927382,-0.11069546086237397,1e-06
2021-01-04 14:45:00,14.49,67.4104,11.746359651535071,0.04168449424346126,-0.06632808228449072,0.18598665565959663,1e-06
2021-01-04 15:00:00,14.41,67.33,11.748007310695057,0.04159899784685073,-0.13886783572351646,-0.33089073589299745,1e-06
2021-01-04 15:15:00,14.4163,67.3,11.749421277737381,0.04152287154234366,-0.1276105325371102,-0.2461855094061395,1e-06
2021-01-04 15:30:00,14.46,67.33,11.750349194275149,0.04147386680124832,-0.08278464600319779,0.08202749781325147,1e-06
2021-01-04 15:45:00,14.41,67.27,11.75161789638659,0.04140198162232069,-0.12672920012010103,-0.24156023245977815,1e-06
