sector,portfolio_id,assets,connectivity,coint_rank,lag_order,eigenvalue_1,eigenvalue_2,eigenvalue_3,half_life_days,max_abs_zscore,pct_within_2sigma,weight_EL,weight_KMB,weight_KO,weight_KR,weight_CLX,weight_HSY,weight_CTRA,weight_NEE,weight_NOV,weight_PSX,weight_FSLR,weight_COP,weight_FANG,weight_OXY,weight_JPM,weight_MET,weight_PGR,weight_TRV,weight_USB,weight_PYPL,weight_RF,weight_TFC,weight_GILD,weight_HCA,weight_LH,weight_SYK,weight_BDX,weight_EW,weight_ALK,weight_CMI,weight_DAL,weight_LUV,weight_DOV,weight_ETN,weight_PCAR,weight_WM,weight_AMCR,weight_CCK,weight_CRH,weight_X,weight_ECL,weight_RYN,weight_VMC,weight_FCX,weight_BRX,weight_IRM,weight_SKT,weight_WPC,weight_PSA,weight_EQR,weight_GOOG,weight_ORCL,weight_TXN,weight_UBER,weight_GOOGL,weight_INTC,weight_CMS,weight_D,weight_PPL,weight_WEC,weight_AEE,weight_EVRG,weight_PEG,weight_ETR,weight_SO
industrials,IND_003,DOV + ETN + PCAR + WM,0.8333333333333334,2,1,0.003832402137108997,0.0034259232426329393,0.0016865432817079467,9.692307692307692,3.6147946181730366,81.37899403760893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8473363060118773,1.0,-0.06509405865580634,0.30290589361563214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
materials,MAT_001,AMCR + CCK + CRH + X,1.0,1,1,0.0046713016674686395,0.002358075952410402,0.00197555830919253,2.7770257116991344,5.248446757046545,82.6937777098303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.01605327150641242,0.05927251819291756,-0.1505246252582663,,,,,,,,,,,,,,,,,,,,,,,,,
materials,MAT_002,CCK + ECL + RYN + VMC,1.0,4,1,0.003971328373434683,0.0033188689054187174,0.0020487217290006484,4.58744609475439,3.548368461957297,86.21216753286457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29016039606135396,,,0.27249457124350096,1.0,-0.13614674252679312,,,,,,,,,,,,,,,,,,,,,,
materials,MAT_003,AMCR + CCK + FCX + RYN,1.0,4,1,0.004669475319559085,0.0029013161082419698,0.0020155558539675096,6.854924899035546,4.706676378949911,84.69886884744726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.11371568793619419,,,,0.436137562484005,,-0.10031095165977753,,,,,,,,,,,,,,,,,,,,,
reits,REI_001,BRX + IRM + SKT + WPC,1.0,4,2,0.004431522408808125,0.0031757924613651277,0.002230513340811022,3.09943868512772,4.005069569946799,83.41485784163865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.519746197989074,-0.31938414103057483,0.25930860106267745,,,,,,,,,,,,,,,,,
reits,REI_002,BRX + PSA + SKT + WPC,1.0,2,1,0.004456815043634131,0.00358370267942465,0.0019981358285246515,,3.5835115925630427,80.77040660348517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9506028192399034,,0.7087728232725903,1.0,-0.15190513701603553,,,,,,,,,,,,,,,,
reits,REI_003,BRX + EQR + SKT + WPC,1.0,4,1,0.0039599928300850275,0.0029905498303741244,0.0020548698195162274,5.629805483724336,6.5538913210071845,83.61357383063283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.8539637302060111,0.12120398027226287,,-0.23777095826845668,,,,,,,,,,,,,,,
technology,TEC_001,GOOG + ORCL + TXN + UBER,1.0,2,1,0.004453565172210424,0.0030622230899983063,0.0018745932565600964,5.039175784422566,3.785995252227449,84.161443204403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02193239336911922,-0.9568293278618483,1.0,0.04095431943235303,,,,,,,,,,,
technology,TEC_002,GOOGL + ORCL + TXN + UBER,1.0,1,1,0.004517367790023337,0.003010451065479489,0.0017332564801434804,6.249272510724451,3.3249253677966424,84.26846048004893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9456258266113139,1.0,0.04252858558544312,0.026374566308068923,,,,,,,,,,
technology,TEC_003,GOOG + INTC + ORCL + UBER,1.0,1,1,0.0037536797093237215,0.0028159433269093746,0.0019428689998932977,9.692307692307692,3.3328109065735645,84.55893594251643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05148673354026833,-0.5147259574971325,,1.0,,0.27408246929836444,,,,,,,,,
utilities,UTI_001,CMS + D + PPL + WEC,1.0,4,1,0.006310285113615632,0.0032784206863354383,0.0030937248206895423,2.3542176921991,3.6524850077753386,85.13534179538156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.325699557955096,-0.12367555441140271,1.0,0.15904353403638308,,,,,
utilities,UTI_002,AEE + EVRG + PEG + PPL,1.0,2,1,0.005633035419762604,0.0030531059545664094,0.0021264965503466084,2.415066807484583,4.401996627981884,81.76398654845613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-0.20592965526785012,0.1779844566440584,-0.1419829789825286,,
utilities,UTI_003,CMS + ETR + PPL + SO,1.0,4,1,0.0059886567574503734,0.004121293681880786,0.00282539605480417,2.5101722151484944,4.406809607020227,84.08743503515744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02134627684046901,,1.0,,,,,-0.05903629399518177,-0.0433756322528819
